,database,question,sql
207,body_builder,What is the average snatch score of body builders?,SELECT avg(Snatch) FROM body_builder
208,body_builder,What are the clean and jerk score of the body builder with the highest total score?,SELECT Clean_Jerk FROM body_builder ORDER BY Total DESC LIMIT 1
209,body_builder,What are the birthdays of people in ascending order of height?,SELECT Birth_Date FROM People ORDER BY Height ASC
210,body_builder,What are the names of body builders?,SELECT T2.Name FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID
211,body_builder,What are the names of body builders whose total score is higher than 300?,SELECT T2.Name FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID WHERE T1.Total  >  300
212,body_builder,What is the name of the body builder with the greatest body weight?,SELECT T2.Name FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T2.Weight DESC LIMIT 1
213,body_builder,What are the birth date and birth place of the body builder with the highest total points?,"SELECT T2.Birth_Date ,  T2.Birth_Place FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T1.Total DESC LIMIT 1"
214,body_builder,What are the heights of body builders with total score smaller than 315?,SELECT T2.Height FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID WHERE T1.Total  <  315
215,body_builder,What is the average total score of body builders with height bigger than 200?,SELECT avg(T1.Total) FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID WHERE T2.Height  >  200
216,body_builder,What are the names of body builders in descending order of total scores?,SELECT T2.Name FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T1.Total DESC
217,body_builder,List each birth place along with the number of people from there.,"SELECT Birth_Place ,  COUNT(*) FROM people GROUP BY Birth_Place"
218,body_builder,What is the most common birth place of people?,SELECT Birth_Place FROM people GROUP BY Birth_Place ORDER BY COUNT(*) DESC LIMIT 1
219,body_builder,What are the birth places that are shared by at least two people?,SELECT Birth_Place FROM people GROUP BY Birth_Place HAVING COUNT(*)  >=  2
220,body_builder,List the height and weight of people in descending order of height.,"SELECT Height ,  Weight FROM people ORDER BY Height DESC"
221,body_builder,Show all information about each body builder.,SELECT * FROM body_builder
222,body_builder,How many distinct birth places are there?,SELECT count(DISTINCT Birth_Place) FROM people
223,body_builder,How many persons are not body builders?,SELECT count(*) FROM people WHERE people_id NOT IN (SELECT People_ID FROM body_builder)
224,body_builder,List the weight of the body builders who have snatch score higher than 140 or have the height greater than 200.,SELECT T2.weight FROM body_builder AS T1 JOIN people AS T2 ON T1.people_id  =  T2.people_id WHERE T1.snatch  >  140 OR T2.height  >  200;
225,body_builder,"What are the total scores of the body builders whose birthday contains the string ""January"" ?","SELECT T1.total FROM body_builder AS T1 JOIN people AS T2 ON T1.people_id  =  T2.people_id WHERE T2.Birth_Date LIKE ""%January%"";"
226,body_builder,What is the minimum snatch score?,SELECT min(snatch) FROM body_builder
227,election_representative,How many elections are there?,SELECT count(*) FROM election
228,election_representative,List the votes of elections in descending order.,SELECT Votes FROM election ORDER BY Votes DESC
229,election_representative,List the dates and vote percents of elections.,"SELECT Date ,  Vote_Percent FROM election"
230,election_representative,What are the minimum and maximum vote percents of elections?,"SELECT min(Vote_Percent) ,  max(Vote_Percent) FROM election"
231,election_representative,What are the names and parties of representatives?,"SELECT Name ,  Party FROM representative"
232,election_representative,"What are the names of representatives whose party is not ""Republican""?","SELECT Name FROM Representative WHERE Party != ""Republican"""
233,election_representative,What are the life spans of representatives from New York state or Indiana state?,"SELECT Lifespan FROM representative WHERE State  =  ""New York"" OR State  =  ""Indiana"""
234,election_representative,What are the names of representatives and the dates of elections they participated in.,"SELECT T2.Name ,  T1.Date FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID  =  T2.Representative_ID"
235,election_representative,What are the names of representatives with more than 10000 votes in election?,SELECT T2.Name FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID  =  T2.Representative_ID WHERE Votes  >  10000
236,election_representative,What are the names of representatives in descending order of votes?,SELECT T2.Name FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID  =  T2.Representative_ID ORDER BY votes DESC
237,election_representative,What is the party of the representative that has the smallest number of votes.,SELECT T2.Party FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID  =  T2.Representative_ID ORDER BY votes ASC LIMIT 1
238,election_representative,What are the lifespans of representatives in descending order of vote percent?,SELECT T2.Lifespan FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID  =  T2.Representative_ID ORDER BY Vote_Percent DESC
239,election_representative,"What is the average number of votes of representatives from party ""Republican""?","SELECT avg(T1.Votes) FROM election AS T1 JOIN representative AS T2 ON T1.Representative_ID  =  T2.Representative_ID WHERE T2.Party  =  ""Republican"""
240,election_representative,What are the different parties of representative? Show the party name and the number of representatives in each party.,"SELECT Party ,  COUNT(*) FROM representative GROUP BY Party"
241,election_representative,What is the party that has the largest number of representatives?,"SELECT Party ,  COUNT(*) FROM representative GROUP BY Party ORDER BY COUNT(*) DESC LIMIT 1"
242,election_representative,What parties have at least three representatives?,SELECT Party FROM representative GROUP BY Party HAVING COUNT(*)  >=  3
243,election_representative,What states have at least two representatives?,SELECT State FROM representative GROUP BY State HAVING COUNT(*)  >=  2
244,election_representative,List the names of representatives that have not participated in elections listed here.,SELECT Name FROM representative WHERE Representative_ID NOT IN (SELECT Representative_ID FROM election)
245,election_representative,How many distinct parties are there for representatives?,SELECT count(DISTINCT Party) FROM representative
246,performance_attendance,How many performances are there?,SELECT count(*) FROM performance
247,performance_attendance,List the hosts of performances in ascending order of attendance.,SELECT HOST FROM performance ORDER BY Attendance ASC
248,performance_attendance,What are the dates and locations of performances?,"SELECT Date ,  LOCATION FROM performance"
249,performance_attendance,"Show the attendances of the performances at location ""TD Garden"" or ""Bell Centre""","SELECT Attendance FROM performance WHERE LOCATION  =  ""TD Garden"" OR LOCATION  =  ""Bell Centre"""
250,performance_attendance,What is the average number of attendees for performances?,SELECT avg(Attendance) FROM performance
251,performance_attendance,What is the date of the performance with the highest number of attendees?,SELECT Date FROM performance ORDER BY Attendance DESC LIMIT 1
252,performance_attendance,Show different locations and the number of performances at each location.,"SELECT LOCATION ,  COUNT(*) FROM performance GROUP BY LOCATION"
253,performance_attendance,Show the most common location of performances.,SELECT LOCATION FROM performance GROUP BY LOCATION ORDER BY COUNT(*) DESC LIMIT 1
254,performance_attendance,Show the locations that have at least two performances.,SELECT LOCATION FROM performance GROUP BY LOCATION HAVING COUNT(*)  >=  2
255,performance_attendance,Show the names of members and the location of the performances they attended.,"SELECT T2.Name ,  T3.Location FROM member_attendance AS T1 JOIN member AS T2 ON T1.Member_ID  =  T2.Member_ID JOIN performance AS T3 ON T1.Performance_ID  =  T3.Performance_ID"
256,performance_attendance,Show the names of members and the location of performances they attended in ascending alphabetical order of their names.,"SELECT T2.Name ,  T3.Location FROM member_attendance AS T1 JOIN member AS T2 ON T1.Member_ID  =  T2.Member_ID JOIN performance AS T3 ON T1.Performance_ID  =  T3.Performance_ID ORDER BY T2.Name ASC"
257,performance_attendance,"Show the dates of performances with attending members whose roles are ""Violin"".","SELECT T3.Date FROM member_attendance AS T1 JOIN member AS T2 ON T1.Member_ID  =  T2.Member_ID JOIN performance AS T3 ON T1.Performance_ID  =  T3.Performance_ID WHERE T2.Role  =  ""Violin"""
258,performance_attendance,Show the names of members and the dates of performances they attended in descending order of attendance of the performances.,"SELECT T2.Name ,  T3.Date FROM member_attendance AS T1 JOIN member AS T2 ON T1.Member_ID  =  T2.Member_ID JOIN performance AS T3 ON T1.Performance_ID  =  T3.Performance_ID ORDER BY T3.Attendance DESC"
259,performance_attendance,List the names of members who did not attend any performance.,SELECT Name FROM member WHERE Member_ID NOT IN (SELECT Member_ID FROM member_attendance)
260,gymnast,How many gymnasts are there?,SELECT count(*) FROM gymnast
261,gymnast,Count the number of gymnasts.,SELECT count(*) FROM gymnast
262,gymnast,List the total points of gymnasts in descending order.,SELECT Total_Points FROM gymnast ORDER BY Total_Points DESC
263,gymnast,"What are the total points for all gymnasts, ordered by total points descending?",SELECT Total_Points FROM gymnast ORDER BY Total_Points DESC
264,gymnast,List the total points of gymnasts in descending order of floor exercise points.,SELECT Total_Points FROM gymnast ORDER BY Floor_Exercise_Points DESC
265,gymnast,"What are the total points of gymnasts, ordered by their floor exercise points descending?",SELECT Total_Points FROM gymnast ORDER BY Floor_Exercise_Points DESC
266,gymnast,What is the average horizontal bar points for all gymnasts?,SELECT avg(Horizontal_Bar_Points) FROM gymnast
267,gymnast,Return the average horizontal bar points across all gymnasts.,SELECT avg(Horizontal_Bar_Points) FROM gymnast
268,gymnast,What are the names of people in ascending alphabetical order?,SELECT Name FROM People ORDER BY Name ASC
269,gymnast,"Return the names of people, ordered alphabetically.",SELECT Name FROM People ORDER BY Name ASC
270,gymnast,What are the names of gymnasts?,SELECT T2.Name FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID
271,gymnast,Return the names of the gymnasts.,SELECT T2.Name FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID
272,gymnast,"What are the names of gymnasts whose hometown is not ""Santo Domingo""?","SELECT T2.Name FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID WHERE T2.Hometown != ""Santo Domingo"""
273,gymnast,Return the names of gymnasts who did not grow up in Santo Domingo.,"SELECT T2.Name FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID WHERE T2.Hometown != ""Santo Domingo"""
274,gymnast,What is the age of the tallest person?,SELECT Age FROM people ORDER BY Height DESC LIMIT 1
275,gymnast,Return the age of the person with the greatest height.,SELECT Age FROM people ORDER BY Height DESC LIMIT 1
276,gymnast,List the names of the top 5 oldest people.,SELECT Name FROM People ORDER BY Age DESC LIMIT 5
277,gymnast,What are the names of the five oldest people?,SELECT Name FROM People ORDER BY Age DESC LIMIT 5
278,gymnast,What is the total point count of the youngest gymnast?,SELECT T1.Total_Points FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID ORDER BY T2.Age ASC LIMIT 1
279,gymnast,Return the total points of the gymnast with the lowest age.,SELECT T1.Total_Points FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID ORDER BY T2.Age ASC LIMIT 1
280,gymnast,What is the average age of all gymnasts?,SELECT avg(T2.Age) FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID
281,gymnast,Return the average age across all gymnasts.,SELECT avg(T2.Age) FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID
282,gymnast,What are the distinct hometowns of gymnasts with total points more than 57.5?,SELECT DISTINCT T2.Hometown FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID WHERE T1.Total_Points  >  57.5
283,gymnast,Give the different hometowns of gymnasts that have a total point score of above 57.5.,SELECT DISTINCT T2.Hometown FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID WHERE T1.Total_Points  >  57.5
284,gymnast,What are the hometowns of gymnasts and the corresponding number of gymnasts?,"SELECT T2.Hometown ,  COUNT(*) FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID GROUP BY T2.Hometown"
285,gymnast,How many gymnasts are from each hometown?,"SELECT T2.Hometown ,  COUNT(*) FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID GROUP BY T2.Hometown"
286,gymnast,What is the most common hometown of gymnasts?,SELECT T2.Hometown FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID GROUP BY T2.Hometown ORDER BY COUNT(*) DESC LIMIT 1
287,gymnast,Return the hometown that is most common among gymnasts.,SELECT T2.Hometown FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID GROUP BY T2.Hometown ORDER BY COUNT(*) DESC LIMIT 1
288,gymnast,What are the hometowns that are shared by at least two gymnasts?,SELECT T2.Hometown FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID GROUP BY T2.Hometown HAVING COUNT(*)  >=  2
289,gymnast,Give the hometowns from which two or more gymnasts are from.,SELECT T2.Hometown FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID GROUP BY T2.Hometown HAVING COUNT(*)  >=  2
290,gymnast,List the names of gymnasts in ascending order by their heights.,SELECT T2.Name FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID ORDER BY T2.Height ASC
291,gymnast,"What are the names of gymnasts, ordered by their heights ascending?",SELECT T2.Name FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID ORDER BY T2.Height ASC
292,gymnast,How many distinct hometowns did these people have?,SELECT count(DISTINCT Hometown) FROM people
293,gymnast,Count the number of different hometowns of these people.,SELECT count(DISTINCT Hometown) FROM people
294,gymnast,Show the ages of gymnasts in descending order of total points.,SELECT T2.Age FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID ORDER BY T1.Total_Points DESC
295,gymnast,"What are the ages of the gymnasts, ordered descending by their total points?",SELECT T2.Age FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID ORDER BY T1.Total_Points DESC
296,wrestler,How many wrestlers are there?,SELECT count(*) FROM wrestler
297,wrestler,Count the number of wrestlers.,SELECT count(*) FROM wrestler
298,wrestler,List the names of wrestlers in descending order of days held.,SELECT Name FROM wrestler ORDER BY Days_held DESC
299,wrestler,"What are the names of the wrestlers, ordered descending by days held?",SELECT Name FROM wrestler ORDER BY Days_held DESC
300,wrestler,What is the name of the wrestler with the fewest days held?,SELECT Name FROM wrestler ORDER BY Days_held ASC LIMIT 1
301,wrestler,Return the name of the wrestler who had the lowest number of days held.,SELECT Name FROM wrestler ORDER BY Days_held ASC LIMIT 1
302,wrestler,"What are the distinct reigns of wrestlers whose location is not ""Tokyo,Japan"" ?","SELECT DISTINCT Reign FROM wrestler WHERE LOCATION != ""Tokyo , Japan"""
303,wrestler,"Give the different reigns of wrestlers who are not located in Tokyo, Japan.","SELECT DISTINCT Reign FROM wrestler WHERE LOCATION != ""Tokyo , Japan"""
304,wrestler,What are the names and location of the wrestlers?,"SELECT Name ,  LOCATION FROM wrestler"
305,wrestler,Give the names and locations of all wrestlers.,"SELECT Name ,  LOCATION FROM wrestler"
306,wrestler,"What are the elimination moves of wrestlers whose team is ""Team Orton""?","SELECT Elimination_Move FROM Elimination WHERE Team  =  ""Team Orton"""
307,wrestler,Return the elimination movies of wrestlers on Team Orton.,"SELECT Elimination_Move FROM Elimination WHERE Team  =  ""Team Orton"""
308,wrestler,What are the names of wrestlers and the elimination moves?,"SELECT T2.Name ,  T1.Elimination_Move FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID"
309,wrestler,Give the names of wrestlers and their elimination moves.,"SELECT T2.Name ,  T1.Elimination_Move FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID"
310,wrestler,List the names of wrestlers and the teams in elimination in descending order of days held.,"SELECT T2.Name ,  T1.Team FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID ORDER BY T2.Days_held DESC"
311,wrestler,"What are the names of wrestlers and their teams in elimination, ordered descending by days held?","SELECT T2.Name ,  T1.Team FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID ORDER BY T2.Days_held DESC"
312,wrestler,List the time of elimination of the wrestlers with largest days held.,SELECT T1.Time FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID ORDER BY T2.Days_held DESC LIMIT 1
313,wrestler,What is the time of elimination for the wrestler with the most days held?,SELECT T1.Time FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID ORDER BY T2.Days_held DESC LIMIT 1
314,wrestler,Show times of elimination of wrestlers with days held more than 50.,SELECT T1.Time FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID WHERE T2.Days_held  >  50
315,wrestler,What are the times of elimination for wrestlers with over 50 days held?,SELECT T1.Time FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID WHERE T2.Days_held  >  50
316,wrestler,Show different teams in eliminations and the number of eliminations from each team.,"SELECT Team ,  COUNT(*) FROM elimination GROUP BY Team"
317,wrestler,How many eliminations did each team have?,"SELECT Team ,  COUNT(*) FROM elimination GROUP BY Team"
318,wrestler,Show teams that have suffered more than three eliminations.,SELECT Team FROM elimination GROUP BY Team HAVING COUNT(*)  >  3
319,wrestler,Which teams had more than 3 eliminations?,SELECT Team FROM elimination GROUP BY Team HAVING COUNT(*)  >  3
320,wrestler,Show the reign and days held of wrestlers.,"SELECT Reign ,  Days_held FROM wrestler"
321,wrestler,What are the reigns and days held of all wrestlers?,"SELECT Reign ,  Days_held FROM wrestler"
322,wrestler,What are the names of wrestlers days held less than 100?,SELECT Name FROM wrestler WHERE Days_held  <  100
323,wrestler,Return the names of wrestlers with fewer than 100 days held.,SELECT Name FROM wrestler WHERE Days_held  <  100
324,wrestler,Please show the most common reigns of wrestlers.,SELECT Reign FROM wrestler GROUP BY Reign ORDER BY COUNT(*) DESC LIMIT 1
325,wrestler,Which reign is the most common among wrestlers?,SELECT Reign FROM wrestler GROUP BY Reign ORDER BY COUNT(*) DESC LIMIT 1
326,wrestler,List the locations that are shared by more than two wrestlers.,SELECT LOCATION FROM wrestler GROUP BY LOCATION HAVING COUNT(*)  >  2
327,wrestler,Which locations are shared by more than two wrestlers?,SELECT LOCATION FROM wrestler GROUP BY LOCATION HAVING COUNT(*)  >  2
328,wrestler,List the names of wrestlers that have not been eliminated.,SELECT Name FROM wrestler WHERE Wrestler_ID NOT IN (SELECT Wrestler_ID FROM elimination)
329,wrestler,What are the names of wrestlers who have never been eliminated?,SELECT Name FROM wrestler WHERE Wrestler_ID NOT IN (SELECT Wrestler_ID FROM elimination)
330,wrestler,What is the number of distinct teams that suffer elimination?,SELECT COUNT (DISTINCT team) FROM elimination
331,wrestler,How many different teams have had eliminated wrestlers?,SELECT COUNT (DISTINCT team) FROM elimination
332,wrestler,"Show the times of elimination by ""Punk"" or ""Orton"".","SELECT TIME FROM elimination WHERE Eliminated_By  =  ""Punk"" OR Eliminated_By  =  ""Orton"""
333,wrestler,What are the times of elimination for any instances in which the elimination was done by Punk or Orton?,"SELECT TIME FROM elimination WHERE Eliminated_By  =  ""Punk"" OR Eliminated_By  =  ""Orton"""
334,device,How many devices are there?,SELECT count(*) FROM device
335,device,Count the number of devices.,SELECT count(*) FROM device
336,device,List the carriers of devices in ascending alphabetical order.,SELECT Carrier FROM device ORDER BY Carrier ASC
337,device,"What are the different carriers for devices, listed in alphabetical order?",SELECT Carrier FROM device ORDER BY Carrier ASC
338,device,"What are the carriers of devices whose software platforms are not ""Android""?",SELECT Carrier FROM device WHERE Software_Platform != 'Android'
339,device,Return the device carriers that do not have Android as their software platform.,SELECT Carrier FROM device WHERE Software_Platform != 'Android'
340,device,What are the names of shops in ascending order of open year?,SELECT Shop_Name FROM shop ORDER BY Open_Year ASC
341,device,"Return the names of shops, ordered by year of opening ascending.",SELECT Shop_Name FROM shop ORDER BY Open_Year ASC
342,device,What is the average quantity of stocks?,SELECT avg(Quantity) FROM stock
343,device,Give the average quantity of stocks.,SELECT avg(Quantity) FROM stock
344,device,What are the names and location of the shops in ascending alphabetical order of name.,"SELECT Shop_Name ,  LOCATION FROM shop ORDER BY Shop_Name ASC"
345,device,"Return the names and locations of shops, ordered by name in alphabetical order.","SELECT Shop_Name ,  LOCATION FROM shop ORDER BY Shop_Name ASC"
346,device,How many different software platforms are there for devices?,SELECT count(DISTINCT Software_Platform) FROM device
347,device,Count the number of different software platforms.,SELECT count(DISTINCT Software_Platform) FROM device
348,device,"List the open date of open year of the shop named ""Apple"".","SELECT Open_Date ,  Open_Year FROM shop WHERE Shop_Name  =  ""Apple"""
349,device,What are the open dates and years for the shop named Apple?,"SELECT Open_Date ,  Open_Year FROM shop WHERE Shop_Name  =  ""Apple"""
350,device,List the name of the shop with the latest open year.,SELECT Shop_Name FROM shop ORDER BY Open_Year DESC LIMIT 1
351,device,What is the shop name corresponding to the shop that opened in the most recent year?,SELECT Shop_Name FROM shop ORDER BY Open_Year DESC LIMIT 1
352,device,Show names of shops and the carriers of devices they have in stock.,"SELECT T3.Shop_Name ,  T2.Carrier FROM stock AS T1 JOIN device AS T2 ON T1.Device_ID  =  T2.Device_ID JOIN shop AS T3 ON T1.Shop_ID  =  T3.Shop_ID"
353,device,"What are the names of device shops, and what are the carriers that they carry devices in stock for?","SELECT T3.Shop_Name ,  T2.Carrier FROM stock AS T1 JOIN device AS T2 ON T1.Device_ID  =  T2.Device_ID JOIN shop AS T3 ON T1.Shop_ID  =  T3.Shop_ID"
354,device,Show names of shops that have more than one kind of device in stock.,SELECT T2.Shop_Name FROM stock AS T1 JOIN shop AS T2 ON T1.Shop_ID  =  T2.Shop_ID GROUP BY T1.Shop_ID HAVING COUNT(*)  >  1
355,device,What are the names of shops that have more than a single kind of device in stock?,SELECT T2.Shop_Name FROM stock AS T1 JOIN shop AS T2 ON T1.Shop_ID  =  T2.Shop_ID GROUP BY T1.Shop_ID HAVING COUNT(*)  >  1
356,device,Show the name of the shop that has the most kind of devices in stock.,SELECT T2.Shop_Name FROM stock AS T1 JOIN shop AS T2 ON T1.Shop_ID  =  T2.Shop_ID GROUP BY T1.Shop_ID ORDER BY COUNT(*) DESC LIMIT 1
357,device,What is the name of the shop that has the most different kinds of devices in stock?,SELECT T2.Shop_Name FROM stock AS T1 JOIN shop AS T2 ON T1.Shop_ID  =  T2.Shop_ID GROUP BY T1.Shop_ID ORDER BY COUNT(*) DESC LIMIT 1
358,device,Show the name of the shop that have the largest quantity of devices in stock.,SELECT T2.Shop_Name FROM stock AS T1 JOIN shop AS T2 ON T1.Shop_ID  =  T2.Shop_ID GROUP BY T1.Shop_ID ORDER BY SUM(T1.quantity) DESC LIMIT 1
359,device,What is the name of the shop that has the greatest quantity of devices in stock?,SELECT T2.Shop_Name FROM stock AS T1 JOIN shop AS T2 ON T1.Shop_ID  =  T2.Shop_ID GROUP BY T1.Shop_ID ORDER BY SUM(T1.quantity) DESC LIMIT 1
360,device,Please show different software platforms and the corresponding number of devices using each.,"SELECT Software_Platform ,  COUNT(*) FROM device GROUP BY Software_Platform"
361,device,"What are the different software platforms for devices, and how many devices have each?","SELECT Software_Platform ,  COUNT(*) FROM device GROUP BY Software_Platform"
362,device,Please show the software platforms of devices in descending order of the count.,SELECT Software_Platform FROM device GROUP BY Software_Platform ORDER BY COUNT(*) DESC
363,device,"What are the different software platforms for devices, ordered by frequency descending?",SELECT Software_Platform FROM device GROUP BY Software_Platform ORDER BY COUNT(*) DESC
364,device,List the software platform shared by the greatest number of devices.,SELECT Software_Platform FROM device GROUP BY Software_Platform ORDER BY COUNT(*) DESC LIMIT 1
365,device,What is the software platform that is most common amongst all devices?,SELECT Software_Platform FROM device GROUP BY Software_Platform ORDER BY COUNT(*) DESC LIMIT 1
366,device,List the names of shops that have no devices in stock.,SELECT Shop_Name FROM shop WHERE Shop_ID NOT IN (SELECT Shop_ID FROM stock)
367,device,What are the names of shops that do not have any devices in stock?,SELECT Shop_Name FROM shop WHERE Shop_ID NOT IN (SELECT Shop_ID FROM stock)
368,device,List the carriers of devices that have no devices in stock.,SELECT Carrier FROM device WHERE Device_ID NOT IN (SELECT Device_ID FROM stock)
369,device,What are the carriers of devices that are not in stock anywhere?,SELECT Carrier FROM device WHERE Device_ID NOT IN (SELECT Device_ID FROM stock)
370,device,Show the carriers of devices in stock at more than one shop.,SELECT T2.Carrier FROM stock AS T1 JOIN device AS T2 ON T1.Device_ID  =  T2.Device_ID GROUP BY T1.Device_ID HAVING COUNT(*)  >  1
371,device,What are the carriers of devices that are in stock in more than a single shop?,SELECT T2.Carrier FROM stock AS T1 JOIN device AS T2 ON T1.Device_ID  =  T2.Device_ID GROUP BY T1.Device_ID HAVING COUNT(*)  >  1
372,ship_1,How many different captain ranks are there?,SELECT count(DISTINCT rank) FROM captain
373,ship_1,Count the number of different ranks of captain.,SELECT count(DISTINCT rank) FROM captain
374,ship_1,How many captains are in each rank?,"SELECT count(*) ,  rank FROM captain GROUP BY rank"
375,ship_1,Count the number of captains that have each rank.,"SELECT count(*) ,  rank FROM captain GROUP BY rank"
376,ship_1,How many captains with younger than 50 are in each rank?,"SELECT count(*) ,  rank FROM captain WHERE age  <  50 GROUP BY rank"
377,ship_1,Count the number of captains younger than 50 of each rank.,"SELECT count(*) ,  rank FROM captain WHERE age  <  50 GROUP BY rank"
378,ship_1,Sort all captain names by their ages from old to young.,SELECT name FROM captain ORDER BY age DESC
379,ship_1,"What are the names of captains, sorted by age descending?",SELECT name FROM captain ORDER BY age DESC
380,ship_1,"Find the name, class and rank of all captains.","SELECT name ,  CLASS ,  rank FROM captain"
381,ship_1,"What are the names, classes, and ranks of all captains?","SELECT name ,  CLASS ,  rank FROM captain"
382,ship_1,Which rank is the most common among captains?,SELECT rank FROM captain GROUP BY rank ORDER BY count(*) DESC LIMIT 1
383,ship_1,Return the rank for which there are the fewest captains.,SELECT rank FROM captain GROUP BY rank ORDER BY count(*) DESC LIMIT 1
384,ship_1,Which classes have more than two captains?,SELECT CLASS FROM captain GROUP BY CLASS HAVING count(*)  >  2
385,ship_1,Give the classes that have more than two captains.,SELECT CLASS FROM captain GROUP BY CLASS HAVING count(*)  >  2
386,ship_1,Find the name of captains whose rank are either Midshipman or Lieutenant.,SELECT name FROM captain WHERE rank  =  'Midshipman' OR rank  =  'Lieutenant'
387,ship_1,What are the names of captains that have either the rank Midshipman or Lieutenant?,SELECT name FROM captain WHERE rank  =  'Midshipman' OR rank  =  'Lieutenant'
388,ship_1,What are the average and minimum age of captains in different class?,"SELECT avg(age) ,  min(age) ,  CLASS FROM captain GROUP BY CLASS"
389,ship_1,Return the average and minimum age of captains in each class.,"SELECT avg(age) ,  min(age) ,  CLASS FROM captain GROUP BY CLASS"
390,ship_1,What is the name of the youngest captain?,SELECT name FROM captain ORDER BY age LIMIT 1
391,ship_1,Return the name of the youngest captain.,SELECT name FROM captain ORDER BY age LIMIT 1
392,ship_1,how many ships are there?,SELECT count(*) FROM ship
393,ship_1,Count the number of ships.,SELECT count(*) FROM ship
394,ship_1,"Find the name, type, and flag of the ship that is built in the most recent year.","SELECT name ,  TYPE ,  flag FROM ship ORDER BY built_year DESC LIMIT 1"
395,ship_1,"What is the name, type, and flag of the ship that was built in the most recent year?","SELECT name ,  TYPE ,  flag FROM ship ORDER BY built_year DESC LIMIT 1"
396,ship_1,"Group by ships by flag, and return number of ships that have each flag.","SELECT count(*) ,  flag FROM ship GROUP BY flag"
397,ship_1,"What are the different ship flags, and how many ships have each?","SELECT count(*) ,  flag FROM ship GROUP BY flag"
398,ship_1,Which flag is most widely used among all ships?,SELECT flag FROM ship GROUP BY flag ORDER BY count(*) DESC LIMIT 1
399,ship_1,Return the flag that is most common among all ships.,SELECT flag FROM ship GROUP BY flag ORDER BY count(*) DESC LIMIT 1
400,ship_1,List all ship names in the order of built year and class.,"SELECT name FROM ship ORDER BY built_year ,  CLASS"
401,ship_1,"What are the names of ships, ordered by year they were built and their class?","SELECT name FROM ship ORDER BY built_year ,  CLASS"
