SQL,database,question
"SELECT DISTINCT driverid ,  STOP FROM pitstops WHERE duration  <  (SELECT max(duration) FROM pitstops WHERE raceid  =  841)",formula_1,"What is the id and stop number for each driver that has a shorter pit stop than the driver in the race with id 841?
"
SELECT COUNT(DISTINCT Artist_ID) FROM volume,music_4,"Count the number of artists who have had volumes.
"
"SELECT Team ,  COUNT(*) FROM elimination GROUP BY Team",wrestler,"Show different teams in eliminations and the number of eliminations from each team.
"
SELECT Pilot_name FROM pilot ORDER BY Rank ASC,pilot_record,"List the names of pilots in ascending order of rank.
"
"SELECT T1.Allergy ,  T1.AllergyType FROM Allergy_type AS T1 JOIN Has_allergy AS T2 ON T1.Allergy  =  T2.Allergy JOIN Student AS T3 ON T3.StuID  =  T2.StuID WHERE T3.Fname  =  ""Lisa"" ORDER BY T1.Allergy",allergy_1,"What are the allergies the girl named Lisa has? And what are the types of them? Order the result by allergy names.
"
"SELECT DISTINCT t1.paperid FROM venue AS t2 JOIN paper AS t1 ON t2.venueid  =  t1.venueid WHERE t1.year  =  2015 AND t2.venuename  =  ""pldi"";",scholar,"pldi papers in 2015
"
"SELECT T1.pName ,  T2.cName FROM player AS T1 JOIN tryout AS T2 ON T1.pID  =  T2.pID WHERE T2.decision  =  'yes'",soccer_2,"Find the name and college of students whose decisions are yes in the tryout.
"
"SELECT Country_name ,  Capital FROM country",match_season,"Show the country name and capital of all countries.
"
SELECT DISTINCT premises_type FROM premises,customers_campaigns_ecommerce,"What are all the distinct premise types?
"
"SELECT T1.editor_id ,  T1.Name ,  COUNT(*) FROM editor AS T1 JOIN journal_committee AS T2 ON T1.Editor_ID  =  T2.Editor_ID GROUP BY T1.editor_id",journal_committee,"Show the id, name of each editor and the number of journal committees they are on.
"
"SELECT COUNT ( state_name ) FROM city WHERE city_name  =  ""springfield"";",geo,"how many states have a city named springfield
"
"SELECT DISTINCT COUNT ( t1.paperid ) FROM venue AS t2 JOIN paper AS t1 ON t2.venueid  =  t1.venueid WHERE t2.venuename  =  ""sigir"";",scholar,"how many papers are in sigir ?
"
SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( t1.population ) FROM state AS t2 JOIN city AS t1 ON t2.capital  =  t1.city_name );,geo,"what is the biggest capital city in the us
"
SELECT count(*) FROM papers,icfp_1,"How many papers are published in total?
"
SELECT title FROM albums ORDER BY title;,store_1,"What are the titles of all the albums alphabetically ascending?
"
SELECT role_description FROM ROLES WHERE role_code  =  (SELECT role_code FROM users WHERE user_login  =  1 GROUP BY role_code ORDER BY count(*) DESC LIMIT 1),document_management,"What is the description of the most popular role among users that have logged in?
"
"SELECT T1.organisation_id ,  count(*) FROM Projects AS T1 JOIN Project_outcomes AS T2 ON T1.project_id  =  T2.project_id GROUP BY T1.organisation_id ORDER BY count(*) DESC LIMIT 1",tracking_grants_for_research,"List the organisation id with the maximum outcome count, and the count.
"
SELECT Name FROM editor WHERE editor_id NOT IN (SELECT editor_id FROM journal_committee),journal_committee,"List the names of editors that are not on any journal committee.
"
"SELECT T2.apt_type_code ,  T2.apt_number FROM Apartment_Buildings AS T1 JOIN Apartments AS T2 ON T1.building_id  =  T2.building_id WHERE T1.building_manager  =  ""Kyle""",apartment_rentals,"What apartment type codes and apartment numbers do the buildings managed by ""Kyle"" have?
"
SELECT city FROM park GROUP BY city HAVING count(*) BETWEEN 2 AND 4;,baseball_1,"Which cities have 2 to 4 parks?
"
SELECT state_name FROM state;,geo,"list the states
"
SELECT name FROM instructor WHERE dept_name  =  'Statistics' ORDER BY salary LIMIT 1,college_2,"Give the name of the lowest earning instructor in the Statistics department.
"
"SELECT t2.house_number  ,  t1.name FROM restaurant AS t1 JOIN LOCATION AS t2 ON t1.id  =  t2.restaurant_id WHERE t2.city_name  =  ""san francisco"" AND t1.name  =  ""jamerican cuisine"";",restaurants,"where can i find a jamerican cuisine in san francisco ?
"
"SELECT count(*) ,  nationality FROM constructors GROUP BY nationality",formula_1,"What are the numbers of constructors for different nationalities?
"
"SELECT T2.department_name ,  COUNT(*) FROM employees AS T1 JOIN departments AS T2 ON T1.department_id  =  T2.department_id GROUP BY T2.department_name",hr_1,"display the department name and number of employees in each of the department.
"
"SELECT population FROM state WHERE state_name  =  ""california"";",geo,"how many residents live in california
"
"SELECT COUNT ( DISTINCT t5.title ) FROM publication_keyword AS t3 JOIN keyword AS t1 ON t3.kid  =  t1.kid JOIN publication AS t5 ON t5.pid  =  t3.pid JOIN writes AS t4 ON t4.pid  =  t5.pid JOIN author AS t2 ON t4.aid  =  t2.aid WHERE t2.name  =  ""H. V. Jagadish"" AND t1.keyword  =  ""User Study"";",academic,"return me the number of the papers of "" H. V. Jagadish "" containing keyword "" User Study "" .
"
"SELECT name ,  course_id FROM instructor AS T1 JOIN teaches AS T2 ON T1.ID  =  T2.ID",college_2,"Find the names of all instructors who have taught some course and the course_id.
"
"SELECT count(*) ,  affiliation FROM university WHERE enrollment  >  20000 GROUP BY affiliation",university_basketball,"What are the different affiliations, and how many schools with each have an enrollment size of above 20000?
"
SELECT sum(total_pounds) FROM purchase AS T1 JOIN branch AS T2 ON T1.branch_id  =  T2.branch_id WHERE T2.city  =  'London' AND T1.year  =  2018,shop_membership,"How many total pounds were purchased in the year 2018 at all London branches?
"
SELECT avg(RAM_MiB) FROM chip_model WHERE model_name NOT IN (SELECT chip_model FROM phone),phone_1,"Find the average ram mib size of the chip models that are never used by any phone.
"
"SELECT T2.name FROM genres AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id JOIN media_types AS T3 ON T3.id = T2.media_type_id WHERE T1.name = ""Rock"" AND T3.name = ""MPEG audio file"";",store_1,"What are the names of all Rock tracks that are stored on MPEG audio files?
"
"SELECT T2.role_name ,  T2.role_description FROM Employees AS T1 JOIN ROLES AS T2 ON T1.role_code  =  T2.role_code WHERE T1.employee_name  =  ""Ebba""",cre_Doc_Tracking_DB,"What is the role name and role description for employee called Ebba?
"
"SELECT t3.fname ,  t3.lname FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid  =  t2.clubid JOIN student AS t3 ON t2.stuid  =  t3.stuid WHERE t1.clubname  =  ""Bootup Baltimore"" AND t2.position  =  ""President""",club_1,"What are the first and last name of the president of the club ""Bootup Baltimore""?
"
"SELECT T1.date_of_completion FROM Student_Course_Enrolment AS T1 JOIN Student_Tests_Taken AS T2 ON T1.registration_id  =  T2.registration_id WHERE T2.test_result  =  ""Fail""",e_learning,"What are the completion dates of all the tests that have result ""Fail""?
"
SELECT count(*) FROM INVESTORS,tracking_share_transactions,"Find the number of investors in total.
"
SELECT T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name GROUP BY T2.artist_name ORDER BY count(*) LIMIT 1,music_1,"Find the country of origin for the artist who made the least number of songs?
"
"SELECT DISTINCT t3.paperid FROM paperkeyphrase AS t2 JOIN keyphrase AS t1 ON t2.keyphraseid  =  t1.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid JOIN venue AS t4 ON t4.venueid  =  t3.venueid WHERE t1.keyphrasename  =  ""TAIL"" AND t4.venuename  =  ""NIPS"";",scholar,"what are the papers in NIPS about TAIL ?
"
"SELECT DISTINCT t3.paperid FROM writes AS t2 JOIN author AS t1 ON t2.authorid  =  t1.authorid JOIN paper AS t3 ON t2.paperid  =  t3.paperid WHERE t1.authorname  =  ""Liwen Xiong"" AND t3.year  =  2015;",scholar,"papers by Liwen Xiong from 2015
"
SELECT COUNT(DISTINCT city) FROM EMPLOYEE,chinook_1,"How many distinct cities does the employees live in?
"
"SELECT T2.lot_id ,  avg(amount_of_transaction) FROM TRANSACTIONS AS T1 JOIN Transactions_Lots AS T2 ON T1.transaction_id  =  T2.transaction_id GROUP BY T2.lot_id",tracking_share_transactions,"Show the average amount of transactions for different lots.
"
SELECT * FROM employees WHERE first_name LIKE '%D%' OR first_name LIKE '%S%' ORDER BY salary DESC,hr_1,"display all the information for all employees who have the letters D or S in their first name and also arrange the result in descending order by salary.
"
SELECT open_date FROM church GROUP BY open_date HAVING count(*)  >=  2,wedding,"Show the opening year in whcih at least two churches opened.
"
SELECT count(DISTINCT complaint_type_code) FROM complaints,customer_complaints,"Count the number of different complaint type codes.
"
SELECT College FROM match_season GROUP BY College ORDER BY count(*) DESC LIMIT 3,match_season,"Show the top 3 most common colleges of players in match seasons.
"
SELECT COUNT ( border ) FROM border_info WHERE state_name  =  ( SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state ) );,geo,"how many states border the largest state
"
"SELECT t3.characteristic_name ,  t3.characteristic_data_type FROM products AS t1 JOIN product_characteristics AS t2 ON t1.product_id  =  t2.product_id JOIN CHARACTERISTICS AS t3 ON t2.characteristic_id  =  t3.characteristic_id WHERE t1.product_name  =  ""cumin""",products_gen_characteristics,"List all the characteristic names and data types of product ""cumin"".
"
SELECT city FROM addresses WHERE city NOT IN ( SELECT DISTINCT t3.city FROM customers AS t1 JOIN customer_addresses AS t2 ON t1.customer_id  =  t2.customer_id JOIN addresses AS t3 ON t2.address_id  =  t3.address_id),customers_and_addresses,"What are the cities no customers live in?
"
SELECT director FROM Movie WHERE title  = 'Avatar',movie_1,"Who is the director of movie Avatar?
"
"SELECT T2.name FROM albums AS T1 JOIN tracks AS T2 ON T1.id = T2.genre_id WHERE T1.title = ""Balls to the Wall"";",store_1,"What is the name of all tracks in the album named Balls to the Wall?
"
SELECT T1.name FROM category AS T1 JOIN film_category AS T2 ON T1.category_id  =  T2.category_id JOIN film AS T3 ON T2.film_id  =  T3.film_id WHERE T3.title  =  'HUNGER ROOF',sakila_1,"Return the name of the category to which the film 'HUNGER ROOF' belongs.
"
SELECT SUM ( LENGTH ) FROM river;,geo,"what is the total length of all rivers in the usa
"
"SELECT count(*) ,  cName FROM tryout GROUP BY cName ORDER BY count(*) DESC",soccer_2,"How many students participated in tryouts for each college by descennding count?
"
SELECT T2.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID GROUP BY T1.Musical_ID HAVING COUNT(*)  >=  3,musical,"What are the names of musicals who have at 3 or more actors?
"
"SELECT min(distance) ,  avg(distance) ,  max(distance) FROM Aircraft",flight_1,"What is the minimum, average, and maximum distance of all aircrafts.
"
SELECT t1.dname FROM department AS t1 JOIN dept_locations AS t2 ON t1.dnumber  =  t2.dnumber WHERE t2.dlocation  =  'Houston',company_1,"Find the names of departments that are located in Houston.
"
SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );,geo,"in which state does the highest point in usa exist
"
SELECT apt_number FROM Apartments ORDER BY room_count ASC,apartment_rentals,"Return all the apartment numbers sorted by the room count in ascending order.
"
"SELECT TYPE FROM vocals AS T1 JOIN songs AS T2 ON T1.songid  =  T2.songid JOIN band AS T3 ON T1.bandmate  =  T3.id WHERE T3.lastname  =  ""Heilo"" AND T2.title  =  ""Der Kapitan""",music_2,"What are the types of vocals that the musician with the last name ""Heilo"" played in ""Der Kapitan""?
"
SELECT t3.characteristic_name FROM products AS t1 JOIN product_characteristics AS t2 ON t1.product_id  =  t2.product_id JOIN CHARACTERISTICS AS t3 ON t2.characteristic_id  =  t3.characteristic_id GROUP BY t3.characteristic_name ORDER BY count(*) DESC LIMIT 1,products_gen_characteristics,"What is the characteristic name used by most number of the products?
"
"SELECT T1.employee_name FROM Employees AS T1 JOIN ROLES AS T2 ON T1.role_code  =  T2.role_code WHERE T2.role_name  =  ""Editor""",cre_Doc_Tracking_DB,"Find the names of all the employees whose the role name is ""Editor"".
"
"SELECT max(capacity) ,  avg(capacity) ,  building FROM classroom GROUP BY building",college_2,"Find the maximum and average capacity among rooms in each building.
"
SELECT pPos FROM tryout GROUP BY pPos ORDER BY count(*) DESC LIMIT 1,soccer_2,"What was the most popular position at tryouts?
"
"SELECT customer_name ,  customer_phone ,  payment_method_code FROM customers ORDER BY customer_number DESC",customers_and_products_contacts,"Show the name, phone, and payment method code for all customers in descending order of customer number.
"
"SELECT DISTINCT t2.paperid FROM writes AS t2 JOIN author AS t1 ON t2.authorid  =  t1.authorid WHERE t1.authorname  =  ""sharon goldwater"";",scholar,"which papers has sharon goldwater written ?
"
SELECT Park FROM roller_coaster ORDER BY Speed DESC LIMIT 1,roller_coaster,"Show the park of the roller coaster with the highest speed.
"
SELECT country FROM airports ORDER BY elevation DESC LIMIT 1,flight_4,"Which country is the airport that has the highest altitude located in?
"
SELECT minister FROM party WHERE took_office  >  1961 OR took_office  <  1959,party_people,"Show the minister who took office after 1961 or before 1959.
"
SELECT DISTINCT form_type_code FROM forms,e_government,"List all the types of forms.
"
SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,student_assessment,"What is detail of the student who most recently registered course?
"
"SELECT count(DISTINCT PROF_NUM) FROM CLASS WHERE CRS_CODE  =  ""ACCT-211""",college_1,"How many professors are teaching class with code ACCT-211?
"
"SELECT COUNT ( DISTINCT city ) FROM business WHERE name  =  ""Panda Express"";",yelp,"Return me the number of cities that has "" Panda Express "" .
"
"SELECT DISTINCT t3.venueid FROM writes AS t2 JOIN author AS t1 ON t2.authorid  =  t1.authorid JOIN paper AS t3 ON t2.paperid  =  t3.paperid WHERE t1.authorname  =  ""Daniella Coelho"";",scholar,"conferences that Daniella Coelho has published in
"
SELECT T1.name FROM useracct AS T1 JOIN trust AS T2 ON T1.u_id  =  T2.source_u_id GROUP BY T2.source_u_id ORDER BY avg(trust) DESC LIMIT 1,epinions_1,"Find the name of the source user with the highest average trust score.
"
SELECT count(*) FROM Products,solvency_ii,"How many products are there?
"
SELECT DISTINCT form_type_code FROM forms,e_government,"What are the different types of forms?
"
"SELECT classroom ,  count(*) FROM list WHERE grade  =  ""0"" GROUP BY classroom",student_1,"For each grade 0 classroom, return the classroom number and the count of students.
"
"SELECT DISTINCT COUNT ( t1.paperid ) FROM venue AS t2 JOIN paper AS t1 ON t2.venueid  =  t1.venueid WHERE t1.year  =  2015 AND t2.venuename  =  ""nature communications"";",scholar,"How many papers published in nature communications in 2015 ?
"
"SELECT T1.Time FROM climber AS T1 JOIN mountain AS T2 ON T1.Mountain_ID  =  T2.Mountain_ID WHERE T2.Country  =  ""Uganda""",climbing,"Show the times used by climbers to climb mountains in Country Uganda.
"
"SELECT T1.driverid ,  T1.surname FROM drivers AS T1 JOIN results AS T2 ON T1.driverid  =  T2.driverid JOIN races AS T3 ON T2.raceid = T3.raceid WHERE T3.year > 2010 GROUP BY T1.driverid ORDER BY count(*) DESC LIMIT 1",formula_1,"What is the id and last name of the driver who participated in the most races after 2010?
"
SELECT name FROM Employee ORDER BY salary ASC LIMIT 3,flight_1,"What is the name of the 3 employees who get paid the least?
"
SELECT DISTINCT name FROM nurse ORDER BY name,hospital_1,"List the names of all distinct nurses ordered by alphabetical order?
"
"SELECT name ,  headquarter FROM manufacturers ORDER BY revenue DESC",manufactory_1,"What are the names and headquarters of all manufacturers, ordered by revenue descending?
"
"SELECT COUNT ( DISTINCT t2.title  ) FROM CAST AS t3 JOIN actor AS t1 ON t3.aid  =  t1.aid JOIN movie AS t2 ON t2.mid  =  t3.msid WHERE t1.name  =  ""Humphrey Bogart"" AND t2.release_year  <  1942;",imdb,"How many movies did "" Humphrey Bogart "" act in before 1942 ?
"
"SELECT DISTINCT t3.year FROM paperkeyphrase AS t2 JOIN keyphrase AS t5 ON t2.keyphraseid  =  t5.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid JOIN writes AS t4 ON t4.paperid  =  t3.paperid JOIN author AS t1 ON t4.authorid  =  t1.authorid WHERE t1.authorname  =  ""Michael Stonebraker"" AND t5.keyphrasename  =  ""GIS Database"";",scholar,"When does Michael Stonebraker publish the GIS Database paper ?
"
SELECT title FROM item WHERE i_id NOT IN (SELECT i_id FROM review),epinions_1,"Find the names of the items that did not receive any review.
"
"SELECT category ,  count(*) FROM book_club GROUP BY category",culture_company,"Show all book categories and the number of books in each category.
"
SELECT name FROM user_profiles ORDER BY followers DESC LIMIT 5,twitter_1,"List the names of 5 users followed by the largest number of other users.
"
"SELECT DISTINCT COUNT ( t4.citingpaperid )  ,  t3.authorid FROM writes AS t2 JOIN author AS t1 ON t2.authorid  =  t1.authorid JOIN cite AS t4 ON t2.paperid  =  t4.citedpaperid JOIN writes AS t3 ON t3.paperid  =  t4.citingpaperid WHERE t1.authorname  =  ""Daniel A Reed"" GROUP BY t3.authorid ORDER BY COUNT ( t4.citingpaperid ) DESC;",scholar,"Who cites Daniel A Reed most ?
"
SELECT dept_name FROM course GROUP BY dept_name ORDER BY sum(credits) DESC LIMIT 1,college_2,"Find the name of the department that offers the highest total credits?
"
"SELECT T3.Title FROM Performance AS T1 JOIN Band AS T2 ON T1.bandmate  =  T2.id JOIN Songs AS T3 ON T3.SongId  =  T1.SongId WHERE T2.firstname  =  ""Marianne""",music_2,"Find all the songs produced by artists with first name ""Marianne"".
"
SELECT count(*) FROM routes AS T1 JOIN airports AS T2 ON T1.dst_apid  =  T2.apid WHERE T2.country  =  'Italy',flight_4,"What is the number of routes whose destinations are Italian airports?
"
"SELECT avg(T3.cost) FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""",hospital_1,"What is the average cost of procedures that physician John Wen was trained in?
"
"SELECT t3.house_number  ,  t1.name FROM restaurant AS t1 JOIN geographic AS t2 ON t1.city_name  =  t2.city_name JOIN LOCATION AS t3 ON t1.id  =  t3.restaurant_id WHERE t2.region  =  ""yosemite and mono lake area"" AND t1.food_type  =  ""french"" AND t1.rating  >  2.5;",restaurants,"give me a good place in the yosemite and mono lake area for french food ?
"
"SELECT TYPE FROM vocals AS T1 JOIN band AS T2 ON T1.bandmate  =  T2.id WHERE firstname  =  ""Marianne"" GROUP BY TYPE ORDER BY count(*) DESC LIMIT 1",music_2,"Which vocal type has the band mate with first name ""Marianne"" played the most?
"
"SELECT name ,  age ,  country FROM artist ORDER BY Year_Join",theme_gallery,"Show all artist name, age, and country ordered by the yeared they joined.
"
SELECT Builder FROM railway ORDER BY Builder ASC,railway,"List the builders of railways in ascending alphabetical order.
"
"SELECT avg(rating) ,  avg(resolution) FROM song WHERE languages  =  ""bangla""",music_1,"What is the average rating and resolution of all bangla songs?
"
SELECT count(*) FROM Student WHERE Advisor =  1121;,restaurant_1,"Advisor 1121 has how many students?
"
SELECT headquarters FROM company WHERE main_industry  =  'Banking' GROUP BY headquarters HAVING count(*)  >=  2,gas_company,"What are the headquarters with at least two companies in the banking industry?
"
SELECT publisher FROM book_club GROUP BY publisher ORDER BY count(*) DESC LIMIT 1,culture_company,"Return the publisher that has published the most books.
"
SELECT transaction_type FROM Financial_transactions GROUP BY transaction_type ORDER BY sum(transaction_amount) DESC LIMIT 1,customers_card_transactions,"What is the transaction type that has processed the greatest total amount in transactions?
"
"SELECT Investor ,  COUNT(*) FROM entrepreneur GROUP BY Investor",entrepreneur,"What are the investors of entrepreneurs and the corresponding number of entrepreneurs invested by each investor?
"
"SELECT min(low_temperature) ,  max(wind_speed_mph) FROM weekly_weather",station_weather,"show the lowest low temperature and highest wind speed in miles per hour.
"
"SELECT StuID FROM Student WHERE sex  =  'M' EXCEPT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football""",game_1,"What are the ids of all male students who do not play football?
"
"SELECT t3.fname ,  t3.lname FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid  =  t2.clubid JOIN student AS t3 ON t2.stuid  =  t3.stuid WHERE t1.clubname  =  ""Bootup Baltimore"" AND t3.sex  =  ""F""",club_1,"Find all the female members of club ""Bootup Baltimore"". Show the first name and last name.
"
"SELECT COUNT ( DISTINCT t3.title  ) FROM director AS t2 JOIN directed_by AS t1 ON t2.did  =  t1.did JOIN movie AS t3 ON t3.mid  =  t1.msid WHERE t2.name  =  ""Quentin Tarantino"" AND t3.release_year  <  2010;",imdb,"How many movies did "" Quentin Tarantino "" direct before 2010 ?
"
"SELECT T2.team_id ,  T2.rank FROM home_game AS T1 JOIN team AS T2 ON T1.team_id  =  T2.team_id WHERE T1.year  =  2014 GROUP BY T1.team_id ORDER BY avg(T1.attendance) DESC LIMIT 1;",baseball_1,"Find the id and rank of the team that has the highest average attendance rate in 2014.
"
SELECT name FROM person EXCEPT SELECT name FROM PersonFriend,network_2,"What are the names of all people who do not have friends?
"
"SELECT t2.capital FROM state AS t2 JOIN border_info AS t1 ON t2.state_name  =  t1.border WHERE t1.state_name  =  ""texas"";",geo,"what are the capitals of states that border texas
"
"SELECT card_number FROM member WHERE Hometown LIKE ""%Kentucky%""",shop_membership,"What are the card numbers of members from Kentucky?
"
SELECT city FROM city WHERE regional_population  >  10000000 UNION SELECT city FROM city WHERE regional_population  <  5000000,city_record,"Please give me a list of cities whose regional population is over 8000000 or under 5000000.
"
"SELECT T1.date ,  T2.player FROM game AS T1 JOIN injury_accident AS T2 ON T1.id  =  T2.game_id ORDER BY T1.season DESC",game_injury,"For each injury accident, find the date of the game and the name of the injured player in the game, and sort the results in descending order of game season.
"
SELECT name FROM Person WHERE age  >  (SELECT min(age) FROM person WHERE job  =  'engineer') ORDER BY age,network_2,"What is the name of all the people who are older than at least one engineer? Order them by age.
"
"SELECT Name FROM ship WHERE Nationality != ""United States""",ship_mission,"What are the names of the ships that are not from the United States?
"
"SELECT DISTINCT t3.paperid FROM writes AS t3 JOIN author AS t2 ON t3.authorid  =  t2.authorid JOIN writes AS t4 ON t4.paperid  =  t3.paperid JOIN author AS t1 ON t4.authorid  =  t1.authorid WHERE t2.authorname  =  ""Peter Mertens"" AND t1.authorname  =  ""Dina Barbian"";",scholar,"Papers by Peter Mertens and Dina Barbian
"
"SELECT sum(revenue) ,  name FROM manufacturers GROUP BY name",manufactory_1,"Find the total revenue for each manufacturer.
"
"SELECT date_left_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";",driving_school,"When did the staff member with first name as Janessa and last name as Sawayn leave the company?
"
"SELECT phone FROM employees WHERE first_name = ""Nancy"" AND last_name = ""Edwards"";",store_1,"What is the the phone number of Nancy Edwards?
"
"SELECT DISTINCT t1.fname ,  t1.lname FROM authors AS t1 JOIN authorship AS t2 ON t1.authid  =  t2.authid JOIN inst AS t3 ON t2.instid  =  t3.instid WHERE t3.name  =  ""University of Oxford""",icfp_1,"Find the first names and last names of the authors whose institution affiliation is ""University of Oxford"".
"
SELECT state_name FROM state WHERE density  =  ( SELECT MAX ( density ) FROM state );,geo,"which state has the greatest density
"
SELECT t1.organization_name FROM organizations AS t1 JOIN organization_contact_individuals AS t2 ON t1.organization_id  =  t2.organization_id GROUP BY t1.organization_name ORDER BY count(*) DESC LIMIT 1,e_government,"What is the name of organization that has the greatest number of contact individuals?
"
"SELECT amount ,  donator_name FROM endowment ORDER BY amount DESC LIMIT 1",school_finance,"List the amount and donor name for the largest amount of donation.
"
"SELECT t1.customer_name FROM customers AS t1 JOIN first_notification_of_loss AS t2 ON t1.customer_id  =  t2.customer_id JOIN services AS t3 ON t2.service_id  =  t3.service_id WHERE t3.service_name  =  ""Close a policy"" OR t3.service_name  =  ""Upgrade a policy""",insurance_fnol,"Find the names of customers who have used either the service ""Close a policy"" or the service ""Upgrade a policy"".
"
"SELECT name ,  price FROM Products ORDER BY price ASC LIMIT 1",manufactory_1,"Select the name and price of the cheapest product.
"
SELECT count(*) FROM dorm,dorm_1,"How many dorms are in the database?
"
"SELECT count(*) FROM customers AS t1 JOIN customer_addresses AS t2 ON t1.customer_id  =  t2.customer_id JOIN addresses AS t3 ON t2.address_id  =  t3.address_id WHERE t3.city  =  ""Lake Geovannyton""",customers_and_addresses,"Find the number of customers who live in the city called Lake Geovannyton.
"
"SELECT T1.event_id ,  T1.event_details FROM EVENTS AS T1 JOIN Participants_in_Events AS T2 ON T1.Event_ID  =  T2.Event_ID GROUP BY T1.Event_ID HAVING count(*)  >  1",local_govt_in_alabama,"What are the ids and details of events that have more than one participants?
"
SELECT count(*) FROM csu_fees WHERE campusfee  >  (SELECT avg(campusfee) FROM csu_fees),csu_1,"How many universities have a campus fee higher than average?
"
SELECT name FROM church EXCEPT SELECT T1.name FROM church AS T1 JOIN wedding AS T2 ON T1.church_id  =  T2.church_id WHERE T2.year  =  2015,wedding,"Show all church names except for those that had a wedding in year 2015.
"
"SELECT COUNT ( DISTINCT t5.title ) FROM writes AS t3 JOIN author AS t2 ON t3.aid  =  t2.aid JOIN publication AS t5 ON t3.pid  =  t5.pid JOIN writes AS t4 ON t4.pid  =  t5.pid JOIN author AS t1 ON t4.aid  =  t1.aid WHERE t2.name  =  ""H. V. Jagadish"" AND t1.name  =  ""Divesh Srivastava"" AND t5.year  <  2000;",academic,"return me the number of papers written by "" H. V. Jagadish "" and "" Divesh Srivastava "" before 2000 .
"
SELECT count(*) FROM wedding WHERE YEAR  =  2016,wedding,"How many weddings are there in year 2016?
"
SELECT T1.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID ORDER BY T2.Year DESC,musical,"Show names of actors in descending order of the year their musical is awarded.
"
"SELECT DISTINCT t3.paperid FROM writes AS t3 JOIN author AS t2 ON t3.authorid  =  t2.authorid JOIN writes AS t4 ON t4.paperid  =  t3.paperid JOIN author AS t1 ON t4.authorid  =  t1.authorid WHERE t2.authorname  =  ""Peter Mertens"" AND t1.authorname  =  ""Dina Barbian"";",scholar,"papers written by Peter Mertens and Dina Barbian
"
"SELECT DISTINCT t1.paperid FROM venue AS t2 JOIN paper AS t1 ON t2.venueid  =  t1.venueid WHERE t2.venuename  =  ""chi"";",scholar,"what papers did chi publish ?
"
SELECT T2.Name FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID,gymnast,"Return the names of the gymnasts.
"
"SELECT t2.name FROM publication AS t4 JOIN journal AS t2 ON t4.jid  =  t2.jid JOIN writes AS t3 ON t3.pid  =  t4.pid JOIN author AS t1 ON t3.aid  =  t1.aid WHERE t1.name  =  ""H. V. Jagadish"" GROUP BY t2.name ORDER BY COUNT ( DISTINCT t4.title ) DESC LIMIT 1;",academic,"return me the journal, which have the most number of papers by "" H. V. Jagadish "" .
"
"SELECT customer_name FROM customers WHERE customer_name LIKE ""%Alex%""",customers_and_addresses,"Find the name of all customers whose name contains ""Alex"".
"
SELECT t1.last_name FROM staff AS t1 JOIN complaints AS t2 ON t1.staff_id  =  t2.staff_id JOIN products AS t3 ON t2.product_id  =  t3.product_id ORDER BY t3.product_price LIMIT 1,customer_complaints,"Find the last name of the staff member who processed the complaint of the cheapest product.
"
"SELECT customer_id ,  count(*) FROM Customers_cards GROUP BY customer_id ORDER BY count(*) DESC LIMIT 1",customers_card_transactions,"Return the id of the customer who has the most cards, as well as the number of cards.
"
"SELECT  booking_status_code ,  COUNT(*) FROM Apartment_Bookings GROUP BY booking_status_code",apartment_rentals,"How many bookings does each booking status have? List the booking status code and the number of corresponding bookings.
"
SELECT state_name FROM mountain;,geo,"where are mountains
"
SELECT lake_name FROM lake;,geo,"name all the lakes of us
"
"SELECT dorm_name ,  gender FROM dorm WHERE student_capacity  >  300 OR student_capacity  <  100",dorm_1,"Find the name and gender type of the dorms whose capacity is greater than 300 or less than 100.
"
SELECT director FROM Movie GROUP BY director HAVING count(*)  =  1,movie_1,"What are the names of all directors who made one movie?
"
SELECT LName FROM Student WHERE age  =  (SELECT min(age) FROM Student),allergy_1,"Provide the last name of the youngest student.
"
